id_vendedor;nome_vendedor;categorias_atendidas;qtde_distinta_produtos;media_preco;qtde_disponivel_estoque;total_valor_estoque_usd;reputacao;status_vendedor;total_transacoes;vendas_estimativa
27420742;BABY KINGDOM;1;1;177,6;1;177,6;5_green;platinum;6392;1135219,2
27521118;DOMADORDEPRECIOS;1;1;252,0;1;252,0;5_green;platinum;10044;2531088,0
27529306;SM IMPORT.;1;1;4,45;500;2226,0;5_green;platinum;35987;160142,15
27586508;GRUPO CENTERLOM;1;1;530,86;1;530,86;5_green;silver;886;470341,96
27650140;FITMARK.STORE;1;1;41,17;1;41,17;5_green;platinum;17288;711746,9600000001
27713923;TIENDAVIBRASALUD;2;2;18,9;4;75,6;5_green;platinum;35461;670212,8999999999
27850143;VIRTUAL-HOUSE;1;1;10,68;1;10,68;5_green;platinum;6588;70359,84
27910524;DARIOMET;1;1;0,0;1;0,0;;;0;0,0
27935436;SVA PEUGEOT;1;8;38233,35;8;305866,8;;;0;0,0
27980602;MAQUIMUNDOLINIERSTIGRE;1;1;202,8;1;202,8;5_green;platinum;7365;1493622,0
28006385;DISTRIBUIDORALV;1;2;10,15;400;3985,5600000000004;5_green;platinum;33242;337406,3
28102672;DENGOM SA;1;1;96,0;1;96,0;5_green;;199;19104,0
28319990;SAUN;1;1;0,0;1;0,0;;;0;0,0
28510816;GUILLEGOC;1;1;12,0;1;12,0;5_green;;58;696,0
28785841;NICTOM ARGENTINA;3;5;50,55800000000001;54;4252,19;5_green;platinum;81245;4107584,7100000004
28901009;GAMER24HS;3;4;138,815;202;21653,600000000002;5_green;platinum;37019;5138792,485
28907736;SPEEDYDANTE092010;1;1;0,0;1;0,0;;;3;0,0
29059791;MPM1981;1;1;0,0;1;0,0;;;2;0,0
29203774;ASCENSORESNORBAYRES;1;1;0,0;1;0,0;;;0;0,0
29257845;STONA1000;1;1;48,6;1;48,6;5_green;gold;2899;140891,4
29286521;ELEVENINK;1;1;13,07;1;13,07;5_green;platinum;1733;22650,31
29413481;MISTERTUNING;1;1;18,81;1;18,81;5_green;platinum;25257;475084,17
29437391;ABLA27;1;1;96,0;200;19199,76;5_green;platinum;13556;1301376,0
29635942;FERRETERIA BUCOR;2;1;122,47;100;12247,1;5_green;platinum;1268;155291,96
29636854;FERSAN12982007;1;1;12,6;1;12,6;5_green;silver;190;2394,0
29693465;JUEGOSMALDON;1;2;44,52;51;2270,52;5_green;platinum;12493;556188,36
29762016;JL MIGLIORISI;1;2;52,38;2;104,76;;;0;0,0
29989629;MUNOZBEL2010;1;1;0,0;1;0,0;;;0;0,0
30044871;FUNTECH.;1;2;0,0;2;0,0;5_green;;155;0,0
30146034;MH-VINILOS;1;2;26,39;2;52,78;5_green;platinum;2321;61251,19
30179926;SEX_SHOP_NOSOTROS_ZONA_NORTE;1;1;14,4;1;14,4;5_green;gold;395;5688,0
